frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
117,2025-08-23T11:25:03.315791,8,7.7838726e-05,7.6582684e-05,4.591996e-05,8.926562e-05,4.295451e-05,8.411615e-05,0.00017509036,9.57624e-06,0.00013968353,3.735941e-05,0,0,0
118,2025-08-23T11:25:03.360273,7,7.498907e-05,7.7883684e-05,4.4145552e-05,8.049789e-05,3.9709586e-05,8.015353e-05,0.00017221585,7.0141155e-06,0.00013479037,3.8491e-05,0,0,0
119,2025-08-23T11:25:03.403260,7,7.6179334e-05,8.057518e-05,4.452701e-05,0.00010539032,4.090907e-05,0.00010023179,0.00016770003,5.8880287e-06,0.000112278714,2.8113836e-05,0,0,0
120,2025-08-23T11:25:03.448673,8,8.1892766e-05,7.1394075e-05,5.0812687e-05,0.00012033206,3.9269828e-05,0.000108561006,0.00016235349,4.916255e-06,0.00013488514,4.451029e-05,0,0,0
121,2025-08-23T11:25:03.494216,7,7.208797e-05,6.1584455e-05,4.3168304e-05,0.00011606632,3.1798736e-05,8.4701795e-05,0.0001534905,3.6652102e-06,0.000112437236,4.1879128e-05,0,0,0
122,2025-08-23T11:25:03.538394,6,6.613732e-05,5.694093e-05,3.7351958e-05,0.00011033991,3.1067546e-05,6.8884474e-05,0.00013936129,4.9661903e-06,9.957936e-05,4.6744262e-05,0,0,0
123,2025-08-23T11:25:03.583743,7,6.792001e-05,6.187263e-05,3.811405e-05,0.00011182012,3.6879148e-05,7.946107e-05,0.00013385869,5.2653836e-06,9.554065e-05,4.8468384e-05,0,0,0
124,2025-08-23T11:25:03.627630,7,7.015557e-05,6.2688516e-05,4.1011757e-05,9.75056e-05,4.0439623e-05,7.832179e-05,0.00015038438,6.0627694e-06,9.0735186e-05,6.425056e-05,0,0,0
125,2025-08-23T11:25:03.670527,7,7.477353e-05,7.003782e-05,4.368443e-05,0.00011926093,4.183602e-05,7.567481e-05,0.00016894942,5.386782e-06,7.525421e-05,7.2877374e-05,0,0,0
126,2025-08-23T11:25:03.714201,7,7.234854e-05,6.926529e-05,4.2869287e-05,0.00010590555,3.827591e-05,7.953053e-05,0.0001854536,5.7144644e-06,6.366078e-05,6.0461483e-05,0,0,0
127,2025-08-23T11:25:03.758601,7,6.8510744e-05,6.712205e-05,4.0971758e-05,0.00012056205,4.050408e-05,8.2698374e-05,0.0001332735,6.7903575e-06,5.832179e-05,6.6352775e-05,0,0,0
128,2025-08-23T11:25:03.801666,7,6.853789e-05,6.223986e-05,4.3359592e-05,0.00011728445,3.7395093e-05,7.2517214e-05,0.00013535746,8.0897535e-06,5.2681902e-05,8.79157e-05,0,0,0
129,2025-08-23T11:25:03.890239,7,6.785954e-05,5.9147464e-05,3.870131e-05,0.00012381338,3.6936435e-05,7.355178e-05,0.00012574499,9.297906e-06,5.9209156e-05,8.4333435e-05,0,0,0
130,2025-08-23T11:25:03.934129,7,6.807983e-05,5.663103e-05,4.0241088e-05,0.00011868512,4.0852305e-05,8.151199e-05,0.00014693438,9.32693e-06,4.5766817e-05,7.276892e-05,0,0,0
131,2025-08-23T11:25:03.979025,7,6.9053494e-05,6.480759e-05,4.6869016e-05,0.00012553438,4.3874265e-05,7.8190744e-05,0.0001474555,9.088573e-06,4.269032e-05,6.2971056e-05,0,0,0
132,2025-08-23T11:25:04.021941,6,6.623464e-05,6.23656e-05,5.4359938e-05,0.00011375666,4.9834787e-05,6.8554575e-05,0.00014055427,8.465289e-06,3.9578495e-05,5.8642167e-05,0,0,0
133,2025-08-23T11:25:04.065655,6,6.388807e-05,6.4092616e-05,5.0961928e-05,0.000104427505,5.1158677e-05,7.007225e-05,0.00013445584,7.5795497e-06,3.503125e-05,5.7212987e-05,0,0,0
134,2025-08-23T11:25:04.111557,7,6.746551e-05,6.210801e-05,5.777161e-05,0.0001251084,4.9926446e-05,7.038749e-05,0.0001462293,9.555001e-06,3.6732796e-05,4.9370527e-05,0,0,0
135,2025-08-23T11:25:04.171221,6,6.5103704e-05,6.3153595e-05,4.2386448e-05,0.00012941359,4.054642e-05,6.903022e-05,0.00012538234,1.0942836e-05,5.048238e-05,5.4595504e-05,0,0,0
