frame,timestamp,crowd_count,avg_magnitude,max_magnitude,direction_variance,confidence_score,stampede_detected,crowd_score,motion_score,chaos_score
306,2025-08-23T09:29:24.269250,14,0.31170013546943665,14.275579452514648,3.9416956901550293,46.82266847292582,No,0.28,0.12468005418777466,1.0
308,2025-08-23T09:29:24.916170,14,0.2605564594268799,23.51085662841797,3.2437639236450195,46.140752792358406,No,0.28,0.10422258377075196,1.0
310,2025-08-23T09:29:25.483783,14,0.253624826669693,20.00510597229004,3.4210593700408936,46.04833102226258,No,0.28,0.10144993066787719,1.0
312,2025-08-23T09:29:26.055060,10,0.2681022882461548,22.276079177856445,3.55226993560791,43.574697176615395,No,0.2,0.10724091529846191,1.0
314,2025-08-23T09:29:26.625130,14,0.3226034641265869,17.8228702545166,3.3764641284942627,46.96804618835449,No,0.28,0.12904138565063478,1.0
316,2025-08-23T09:29:27.243889,12,0.3545047342777252,33.12516403198242,2.9824914932250977,46.060063123703,No,0.24,0.1418018937110901,1.0
318,2025-08-23T09:29:27.813962,12,0.37876206636428833,25.146827697753906,2.7098276615142822,46.383494218190506,No,0.24,0.15150482654571534,1.0
320,2025-08-23T09:29:28.399903,14,0.35793739557266235,17.121225357055664,3.0586087703704834,47.43916527430216,No,0.28,0.14317495822906495,1.0
322,2025-08-23T09:29:29.100611,11,0.48389989137649536,20.17592430114746,3.050837993621826,47.118665218353264,No,0.22,0.19355995655059816,1.0
324,2025-08-23T09:29:29.678927,11,0.3892020881175995,36.51778030395508,3.2728164196014404,45.85602784156799,No,0.22,0.1556808352470398,1.0
326,2025-08-23T09:29:30.245890,11,0.3587071895599365,33.998260498046875,3.502232789993286,45.449429194132485,No,0.22,0.14348287582397462,1.0
328,2025-08-23T09:29:30.822398,13,0.32907503843307495,26.134464263916016,3.5142524242401123,46.387667179107666,No,0.26,0.13163001537323,1.0
330,2025-08-23T09:29:31.387992,13,0.2965509295463562,16.895261764526367,3.4867358207702637,45.95401239395141,No,0.26,0.11862037181854249,1.0
332,2025-08-23T09:29:31.976679,13,0.32227134704589844,25.16583824157715,3.393397808074951,46.29695129394531,No,0.26,0.12890853881835937,1.0
334,2025-08-23T09:29:32.550443,13,0.3307081460952759,18.91956901550293,2.8123652935028076,46.40944194793701,No,0.26,0.13228325843811034,1.0
336,2025-08-23T09:29:33.121823,14,0.3247392475605011,35.85773849487305,2.7909460067749023,46.99652330080668,No,0.28,0.12989569902420045,1.0
338,2025-08-23T09:29:33.697419,14,0.2835555076599121,41.29322814941406,2.840111255645752,46.447406768798835,No,0.28,0.11342220306396485,1.0
340,2025-08-23T09:29:34.300286,13,0.2537282109260559,6.923206806182861,3.7939765453338623,45.38304281234741,No,0.26,0.10149128437042236,1.0
342,2025-08-23T09:29:34.821920,12,0.2602322995662689,6.762578010559082,3.405611276626587,44.803097327550255,No,0.24,0.10409291982650756,1.0
344,2025-08-23T09:29:35.343571,13,0.27455270290374756,9.911476135253906,3.605996608734131,45.6607027053833,No,0.26,0.10982108116149902,1.0
346,2025-08-23T09:29:35.890395,14,0.42334088683128357,19.981298446655273,4.313666343688965,48.311211824417114,No,0.28,0.16933635473251343,1.0
348,2025-08-23T09:29:36.540614,13,0.34455686807632446,8.375886917114258,3.755706787109375,46.59409157435099,No,0.26,0.13782274723052979,1.0
350,2025-08-23T09:29:37.133141,13,0.34252408146858215,12.95271110534668,3.341838836669922,46.56698775291443,No,0.26,0.13700963258743287,1.0
352,2025-08-23T09:29:37.706887,13,0.33324646949768066,9.607840538024902,3.5137147903442383,46.44328625996907,No,0.26,0.13329858779907228,1.0
354,2025-08-23T09:29:38.289476,14,0.3242173194885254,11.130913734436035,3.4549689292907715,46.989564259847,No,0.28,0.12968692779541016,1.0
356,2025-08-23T09:29:38.863362,14,0.3447146713733673,11.886026382446289,3.7263693809509277,47.26286228497823,No,0.28,0.13788586854934692,1.0
358,2025-08-23T09:29:39.425603,13,0.33747929334640503,16.633216857910156,3.528479814529419,46.4997239112854,No,0.26,0.13499171733856202,1.0
360,2025-08-23T09:29:40.013270,13,0.30873340368270874,13.165945053100586,3.550166606903076,46.11644538243612,No,0.26,0.1234933614730835,1.0
362,2025-08-23T09:29:40.597647,14,0.32540664076805115,12.54180908203125,3.213319778442383,47.00542187690735,No,0.28,0.13016265630722046,1.0
364,2025-08-23T09:29:41.171140,15,0.3444201946258545,15.264430046081543,3.802643299102783,47.9256025950114,No,0.3,0.13776807785034179,1.0
366,2025-08-23T09:29:41.749714,13,0.34183382987976074,12.416722297668457,3.5675556659698486,46.55778439839681,No,0.26,0.1367335319519043,1.0
368,2025-08-23T09:29:42.353936,12,0.31003573536872864,15.482775688171387,3.412649154663086,45.46714313824971,No,0.24,0.12401429414749146,1.0
370,2025-08-23T09:29:42.922651,13,0.40581104159355164,56.44757080078125,3.451148509979248,47.410813887914024,No,0.26,0.16232441663742064,1.0
372,2025-08-23T09:29:43.448370,14,0.2690111994743347,13.51412582397461,2.815854787826538,46.25348265965779,No,0.28,0.10760447978973389,1.0
374,2025-08-23T09:29:43.963784,14,0.28188154101371765,23.587081909179688,2.7645106315612793,46.425087213516235,No,0.28,0.11275261640548706,1.0
376,2025-08-23T09:29:44.487643,13,0.30673325061798096,14.061762809753418,3.01539945602417,46.08977667490641,No,0.26,0.12269330024719238,1.0
378,2025-08-23T09:29:45.079040,12,0.3278111219406128,17.19899559020996,3.1796414852142334,45.704148292541504,No,0.24,0.13112444877624513,1.0
